Data File : us_postal_codes_by_state.csv
Column Headers In the Data File: 
"ZipCode","PlaceName",State,County,Lat,Long
*****************************************************
*State	|East		|West		|North		|South	*
*****************************************************
*AA		|34034		|34034		|34034		|34034	*
*AK		|99929		|99950		|99929		|99950	*
*AL		|36925		|36922		|36925		|36919	*
*AP		|96373		|96507		|96507		|96373	*
*AR		|72959		|72958		|72959		|72958	*
*AZ		|86545		|86556		|86545		|86556	*
*CA		|96162		|96161		|96161		|96162	*
*CO		|81658		|81657		|81657		|81658	*
*CT		|6927		|6922		|6927		|6926	*
*DC		|56901		|56972		|56901		|56972	*
*DE		|19977		|19980		|19980		|19979	*
*FL		|34994		|34997		|34996		|34997	*
*FM		|96941		|96941		|96941		|96941	*
*GA		|39886		|39901		|39901		|39897	*
*HI		|96861		|96898		|96861		|96898	*
*IA		|52808		|52807		|52808		|52807	*
*ID		|83877		|83874		|83877		|83876	*
*IL		|62997		|62999		|62999		|62998	*
*IN		|47993		|47997		|47997		|47996	*
*KS		|67953		|67954		|67952		|67954	*
*KY		|42788		|42782		|42788		|42782	*
*LA		|71486		|71497		|71497		|71496	*
*MA		|5501		|2791		|5501		|2791	*
*MD		|21930		|21922		|21920		|21930	*
*ME		|4992		|4986		|4992		|4989	*
*MH		|96970		|96960		|96970		|96960	*
*MI		|49971		|49970		|49971		|49969	*
*MN		|56762		|56763		|56763		|56762	*
*MO		|65898		|65899		|65898		|65899	*
*MP		|96951		|96952		|96951		|96952	*
*MS		|39776		|39773		|39776		|39772	*
*MT		|59937		|59936		|59936		|59937	*
*NC		|28906		|28909		|28905		|28909	*
*ND		|58856		|58854		|58856		|58854	*
*NE		|69367		|69366		|69367		|69366	*
*NH		|3897		|3894		|3897		|3896	*
*NJ		|8906		|8989		|8903		|8989	*
*NM		|88439		|88436		|88436		|88439	*
*NV		|89834		|89883		|89834		|89883	*
*NY		|14905		|14904		|14905		|14904	*
*OH		|45898		|45999		|45899		|45999	*
*OK		|74966		|74965		|74964		|74966	*
*OR		|97920		|97918		|97918		|97920	*
*PA		|19608		|19612		|19612		|19611	*
*PW		|96940		|96940		|96940		|96940	*
*RI		|2921		|2940		|2940		|2921	*
*SC		|29943		|29945		|29944		|29945	*
*SD		|57799		|57794		|57799		|57794	*
*TN		|38588		|38589		|38588		|38589	*
*TX		|79978		|79980		|79978		|79980	*
*UT		|84791		|84784		|84791		|84784	*
*VA		|24658		|24657		|24658		|24649	*
*VT		|5907		|5905		|5907		|5906	*
*WA		|99403		|99402		|99403		|99401	*
*WI		|54990		|54985		|54990		|54985	*
*WV		|26886		|26865		|26884		|26886	*
*WY		|83128		|83414		|83414		|83124	*
*****************************************************
*State	|East		|West		|North		|South	*
*****************************************************
